"319";"salr";"spalt, sal, sal-r";"ZF-C2H2";"7227"
"320";"scrt";"lincRNA.S4061";"ZF-C2H2";"7227"
"321";"sens";"Ly, Sensless, sense, sen";"ZF-C2H2";"7227"
"322";"sens-2";"sens2";"ZF-C2H2";"7227"
"323";"seq";"vr5, l(2)vr5, l(2)49Fc";"ZF-C2H2";"7227"
"324";"shn";"quo, l(2)04738, EP2359";"ZF-C2H2";"7227"
"325";"sna";"Sco, l(2)br28, l(2)br29, l(2)35Db, br29";"ZF-C2H2";"7227"
"326";"sob";"-";"ZF-C2H2";"7227"
"327";"Sp1";"D-Sp1";"ZF-C2H2";"7227"
"328";"Spps";"-";"ZF-C2H2";"7227"
"329";"sqz";"l(3)02102";"ZF-C2H2";"7227"
"330";"sr";"-";"ZF-C2H2";"7227"
"331";"Sry-β";"sryβ, sry β";"ZF-C2H2";"7227"
"332";"Sry-δ";"sryδ, serendipity delta, sry δ, EH8, sry";"ZF-C2H2";"7227"
"333";"ssp";"-";"ZF-C2H2";"7227"
"334";"su(Hw)";"suHw";"ZF-C2H2";"7227"
"335";"sug";"-";"ZF-C2H2";"7227"
"336";"tef";"l(2)k15914";"ZF-C2H2";"7227"
"337";"term";"ter";"ZF-C2H2";"7227"
"338";"tio";"-";"ZF-C2H2";"7227"
"339";"topi";"-";"ZF-C2H2";"7227"
"340";"trem";"-";"ZF-C2H2";"7227"
"341";"Trl";"GAF, GAGA, GAGA factor, Nc70F, GAGA-factor";"ZF-C2H2";"7227"
"342";"tsh";"ae";"ZF-C2H2";"7227"
"343";"ttk";"Ttk69, oversensitive, Tramtrack69, Ttk88, FTZ-F2";"ZF-C2H2";"7227"
"344";"ush";"FOG, dFOG";"ZF-C2H2";"7227"
"345";"wdn";"pqp, pourquoi-pas, sry-h1";"ZF-C2H2";"7227"
"346";"wek";"l(2)35Ea, BG:DS09217.5";"ZF-C2H2";"7227"
"347";"wor";"l(2)br35, l(2)35Da, br35, BG:DS03023.1";"ZF-C2H2";"7227"
"348";"zf30C";"l(2)k02506, C282";"ZF-C2H2";"7227"
"349";"zfh1";"zfh-1, Zinc-finger homeodomain protein 1, zinc finger homeodomain 1, l(3)00865";"ZF-C2H2";"7227"
"350";"zfh2";"zfh-2, zinc finger homeodomain 2";"ZF-C2H2";"7227"
"351";"Zif";"-";"ZF-C2H2";"7227"
"352";"ZIPIC";"-";"ZF-C2H2";"7227"
"353";"zld";"vfl, vielfaltig, EP1344";"ZF-C2H2";"7227"
"354";"Nf-YA";"dNF-YA";"CBFTF";"7227"
"355";"Nf-YB";"dNF-YB";"CBFTF";"7227"
"356";"Nf-YC";"-";"CBFTF";"7227"
"357";"ct";"kf, kinked-femur";"CUT";"7227"
"358";"dve";"l(2)01738";"CUT";"7227"
"359";"onecut";"-";"CUT";"7227"
"360";"dmrt11E";"-";"DMRT";"7227"
"361";"dmrt93B";"-";"DMRT";"7227"
"362";"dmrt99B";"-";"DMRT";"7227"
"363";"dsx";"Dmdsx";"DMRT";"7227"
"364";"Dp";"dDP, DP1, l(2)vr10";"E2FTF";"7227"
"365";"E2f1";"E2F, dE2F1, dE2F, E(var)3-93E, drosE2F1";"E2FTF";"7227"
"366";"E2f2";"dE2F2, E2f";"E2FTF";"7227"
"367";"aop";"yan, pokkuri, pok, DROYANETSB, aop/yan";"ETSTF";"7227"
"368";"Eip74EF";"E74, E74A, E74B, Eip74, ECIP";"ETSTF";"7227"
"369";"Ets21C";"D-ets-6";"ETSTF";"7227"
"370";"Ets65A";"D-ets-3, Ets";"ETSTF";"7227"
"371";"Ets96B";"-";"ETSTF";"7227"
"372";"Ets97D";"D-elg, Delg, elg";"ETSTF";"7227"
"373";"Ets98B";"D-ets-4, D-ets4";"ETSTF";"7227"
"374";"pnt";"PntP1, PntP2, D-ets-2, pointed-P1, pointedP2";"ETSTF";"7227"
"375";"bin";"FoxF";"FOX";"7227"
"376";"CG32006";"-";"FOX";"7227"
"377";"CHES-1-like";"anon-EST:Posey7";"FOX";"7227"
"378";"Crg-1";"crg1";"FOX";"7227"
"379";"croc";"FD1, FoxC";"FOX";"7227"
"380";"fd3F";"-";"FOX";"7227"
"381";"fd19B";"-";"FOX";"7227"
"382";"fd59A";"FD3";"FOX";"7227"
"383";"fd96Ca";"FD4";"FOX";"7227"
"384";"fd96Cb";"FD5";"FOX";"7227"
"385";"fd102C";"-";"FOX";"7227"
"386";"fkh";"Secretion enhancer-binding protein 2, Sebp2";"FOX";"7227"
"387";"FoxK";"Mnf, fd68A";"FOX";"7227"
"388";"FoxL1";"fd64A, FD2";"FOX";"7227"
"389";"foxo";"dFOXO, Forkhead box O, forkhead box sub-group O, FKHR, forkhead transcription factor";"FOX";"7227"
"390";"FoxP";"fd85E, forkhead domain 85E";"FOX";"7227"
"391";"jumu";"Dom, jumeaux, Domina, l(3)06439, l(3)06142";"FOX";"7227"
"392";"slp1";"slp, sloppy-paired, sloppy paired, FD6, slp-1";"FOX";"7227"
"393";"slp2";"slp, sloppy-paired, sloppy paired, FD7, FoxG";"FOX";"7227"
"394";"GATAd";"dGATAd";"GATA";"7227"
"395";"GATAe";"dGATAe";"GATA";"7227"
"396";"grn";"GATAc, gra, dGATAc, l(3)84Fa, Gata-c";"GATA";"7227"
"397";"pnr";"dGATAa, GATA";"GATA";"7227"
"398";"srp";"dGATAb, GATAb, GATA, l(3)01549, ABF";"GATA";"7227"
"399";"gcm";"glide/gcm, glide, glial cell missing, glial cell deficient";"GCM";"7227"
"400";"gcm2";"glide2, glial cells missing 2";"GCM";"7227"
"401";"Bap111";"dalao, BAF57";"HMGBTF";"7227"
"402";"bbx";"-";"HMGBTF";"7227"
"403";"CG4617";"-";"HMGBTF";"7227"
"404";"CG12104";"-";"HMGBTF";"7227"
"405";"cic";"fettucine, fet, E(Dl)D49";"HMGBTF";"7227"
"406";"D";"fish, fish-hook, DM23, DM10, DM33";"HMGBTF";"7227"
"407";"Dsp1";"Hmg14B";"HMGBTF";"7227"
"408";"Hmg-2";"BEST:LD07122";"HMGBTF";"7227"
"409";"HmgD";"HMG-D, HMG D, HMG1";"HMGBTF";"7227"
"410";"HmgZ";"HMG-Z";"HMGBTF";"7227"
"411";"Lpt";"cmi, cara mitad";"HMGBTF";"7227"
"412";"pan";"dTCF, TCF, l(4)13, LEF-1, T cell factor";"HMGBTF";"7227"
"413";"polybromo";"PB, bap180, baf180";"HMGBTF";"7227"
"414";"Sox14";"DSox14";"HMGBTF";"7227"
"415";"Sox15";"SoxE, SoxF";"HMGBTF";"7227"
"416";"Sox21a";"-";"HMGBTF";"7227"
"417";"Sox21b";"sox-like";"HMGBTF";"7227"
"418";"Sox100B";"SoxB";"HMGBTF";"7227"
"419";"Sox102F";"-";"HMGBTF";"7227"
"420";"SoxN";"DM64";"HMGBTF";"7227"
"421";"Ssrp";"SSRP1, dSSRP1";"HMGBTF";"7227"
"422";"TFAM";"mtTFA, d-TFAM";"HMGBTF";"7227"
"423";"tHMG1";"-";"HMGBTF";"7227"
"424";"tHMG2";"-";"HMGBTF";"7227"
"425";"abd-A";"abdA, iab-2, iab-4, iab-3, Hab";"HOXL";"7227"
"426";"Abd-B";"AbdB, Mcp, iab-7, iab-6, Fab-7";"HOXL";"7227"
"427";"Antp";"ANT-C, Hu, DmAntp, Scx, Antennapaedia";"HOXL";"7227"
"428";"bcd";"-";"HOXL";"7227"
"429";"btn";"-";"HOXL";"7227"
"430";"cad";"38E.19, cd";"HOXL";"7227"
"431";"Dfd";"DmDfd";"HOXL";"7227"
"432";"eve";"E(eve), Complementation group F, l(2)46Ce";"HOXL";"7227"
"433";"ftz";"Dm-Ftz";"HOXL";"7227"
"434";"ind";"-";"HOXL";"7227"
