2625	Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer	Eomes	Homer	6.5.2.0.2
2626	ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer	ERE	Homer	2.1.1.2.1
2627	ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	ERG	Homer	3.5.2.1.6
2628	Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	Erra	Homer	2.1.1.2.3
2629	Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	Esrrb	Homer	2.1.1.2.4
2630	ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	ETS1	Homer	3.5.2.1.1
2631	Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	Ets1-distal	Homer	3.5.2.1.1
2632	ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer	ETS	Homer	3.5.2.1.1
2633	ETS(ETS)/Promoter/Homer	ETS	Homer	3.5.2.1.1
2634	ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer	ETS	Homer	3.5.2.1.1
2635	ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)/Homer	ETV1	Homer	3.5.2.2.4
2636	EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	EWS	Homer	
2637	EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer	EWS	Homer	
2638	Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	Fli1	Homer	3.5.2.1.5
2639	Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	Fosl2	Homer	1.1.2.1.4
2640	FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	FOXA1	Homer	3.3.1.1.1
2641	FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer	FOXA1	Homer	3.3.1.1.1
2642	Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer	Foxa2	Homer	3.3.1.1.2
2643	Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer	Fox	Homer	3.3.1.15.1
2644	Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)/Homer	Foxh1	Homer	3.3.1.8.1
