731	ZNF300	2.3.3.71.1	ENCODE
732	ZNF302	2.3.3.44.1	ENCODE
733	ZNF311	2.3.3.0.166	ENCODE
734	ZNF316	2.3.4.0.43	ENCODE
735	ZNF318		ENCODE
736	ZNF324	2.3.3.36.1	ENCODE
737	ZNF331	2.3.3.0.142	ENCODE
738	ZNF34	2.3.3.0.130	ENCODE
739	ZNF341	2.3.4.0.35	ENCODE
740	ZNF350	2.3.3.30.1	ENCODE
741	ZNF354B	2.3.3.64.2	ENCODE
742	ZNF354C	2.3.3.0.114	ENCODE
743	ZNF362	2.3.3.37.1	ENCODE
744	ZNF37A	2.3.4.25.1	ENCODE
745	ZNF384	2.3.3.37.2	ENCODE
746	ZNF391	2.3.3.0.82	ENCODE
747	ZNF394	2.3.3.0.40	ENCODE
748	ZNF395		ENCODE
749	ZNF398	2.3.3.38.2	ENCODE
750	ZNF404	2.3.3.67.3	ENCODE
751	ZNF407	2.3.4.0.73	ENCODE
752	ZNF416	2.3.3.0.127	ENCODE
753	ZNF423	2.3.4.12.1	ENCODE
754	ZNF426	2.3.4.0.64	ENCODE
755	ZNF433	2.3.3.0.224	ENCODE
756	ZNF444	2.3.3.0.24	ENCODE
757	ZNF449	2.3.3.0.41	ENCODE
758	ZNF473		ENCODE
759	ZNF48	2.3.4.0.48	ENCODE
760	ZNF488		ENCODE
761	ZNF491	2.3.4.0.62	ENCODE
762	ZNF493	2.3.3.0.229	ENCODE
763	ZNF501	2.3.3.0.87	ENCODE
764	ZNF507	2.3.4.0.24	ENCODE
765	ZNF510	2.3.4.25.6	ENCODE
766	ZNF511	2.3.2.4.2	ENCODE
767	ZNF512	2.3.4.10.1	ENCODE
768	ZNF512B	2.3.4.10.2	ENCODE
769	ZNF513	2.3.4.0.36	ENCODE
770	ZNF514	2.3.3.0.46	ENCODE
