2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR363SHZ/	ENCSR363SHZ	Met	Met	FactorBook:ENCSR363SHZ
/experiments/ENCSR655FTR/	ENCSR655FTR	CG4820	CG4820	FactorBook:ENCSR655FTR
/experiments/ENCSR092TNF/	ENCSR092TNF	CG13424	lms	FactorBook:ENCSR092TNF
/experiments/ENCSR186ZKW/	ENCSR186ZKW	CG15696	CG15696	FactorBook:ENCSR186ZKW
/experiments/ENCSR682YQM/	ENCSR682YQM	pros	pros	FactorBook:ENCSR682YQM
/experiments/ENCSR775WXN/	ENCSR775WXN	Meics	Meics	FactorBook:ENCSR775WXN
/experiments/ENCSR485XWP/	ENCSR485XWP	CG1529	CG1529	FactorBook:ENCSR485XWP
/experiments/ENCSR450HPD/	ENCSR450HPD	bsh	bsh	FactorBook:ENCSR450HPD
/experiments/ENCSR255PHG/	ENCSR255PHG	CG6276	CG6276	FactorBook:ENCSR255PHG
/experiments/ENCSR870BBY/	ENCSR870BBY	fd59A	fd59A	FactorBook:ENCSR870BBY
/experiments/ENCSR766CLL/	ENCSR766CLL	cg	cg	FactorBook:ENCSR766CLL
/experiments/ENCSR161YRO/	ENCSR161YRO	CG17181	Kah	FactorBook:ENCSR161YRO
/experiments/ENCSR261RKJ/	ENCSR261RKJ	MTF-1	MTF-1	FactorBook:ENCSR261RKJ
/experiments/ENCSR582OWB/	ENCSR582OWB	CG34406	CG44002	FactorBook:ENCSR582OWB
/experiments/ENCSR605NFY/	ENCSR605NFY	Fer2	Fer2	FactorBook:ENCSR605NFY
/experiments/ENCSR018VBD/	ENCSR018VBD	CG34367	CG34367	FactorBook:ENCSR018VBD
/experiments/ENCSR360TFL/	ENCSR360TFL	CG31388	CG31388	FactorBook:ENCSR360TFL
/experiments/ENCSR465HPZ/	ENCSR465HPZ	Abd-B	Abd-B	FactorBook:ENCSR465HPZ
/experiments/ENCSR792RAL/	ENCSR792RAL	CG9817	CG43347	FactorBook:ENCSR792RAL
/experiments/ENCSR237AMN/	ENCSR237AMN	CG14655	CG14655	FactorBook:ENCSR237AMN
/experiments/ENCSR164WWJ/	ENCSR164WWJ	fd64A	FoxL1	FactorBook:ENCSR164WWJ
/experiments/ENCSR796DJB/	ENCSR796DJB	fd96Cb	fd96Cb	FactorBook:ENCSR796DJB
/experiments/ENCSR059YLP/	ENCSR059YLP	CG4318	CG4318	FactorBook:ENCSR059YLP
/experiments/ENCSR476OSZ/	ENCSR476OSZ	NC2α	NC2alpha	FactorBook:ENCSR476OSZ
/experiments/ENCSR763HRS/	ENCSR763HRS	Ets21C	Ets21C	FactorBook:ENCSR763HRS
/experiments/ENCSR308HCJ/	ENCSR308HCJ	Smox	Smox	FactorBook:ENCSR308HCJ
/experiments/ENCSR486MQI/	ENCSR486MQI	CG11398	CG11398	FactorBook:ENCSR486MQI
/experiments/ENCSR893CTZ/	ENCSR893CTZ	ss	ss	FactorBook:ENCSR893CTZ
/experiments/ENCSR579WFC/	ENCSR579WFC	kni	kni	FactorBook:ENCSR579WFC
/experiments/ENCSR028DHQ/	ENCSR028DHQ	CG12299	CG12299	FactorBook:ENCSR028DHQ
/experiments/ENCSR890AWM/	ENCSR890AWM	CG17359	CG17359	FactorBook:ENCSR890AWM
/experiments/ENCSR316FKJ/	ENCSR316FKJ	wek	wek	FactorBook:ENCSR316FKJ
/experiments/ENCSR476TPB/	ENCSR476TPB	CG13204	CG13204	FactorBook:ENCSR476TPB
/experiments/ENCSR122VFA/	ENCSR122VFA	fd3F	fd3F	FactorBook:ENCSR122VFA
/experiments/ENCSR414EAT/	ENCSR414EAT	gsb-n	gsb-n	FactorBook:ENCSR414EAT
/experiments/ENCSR833EEQ/	ENCSR833EEQ	CG34376	CG34376	FactorBook:ENCSR833EEQ
/experiments/ENCSR120ICM/	ENCSR120ICM	Dp	Dp	FactorBook:ENCSR120ICM
/experiments/ENCSR608VFH/	ENCSR608VFH	CG15011	CG15011	FactorBook:ENCSR608VFH
/experiments/ENCSR624PKN/	ENCSR624PKN	CG9727	CG9727	FactorBook:ENCSR624PKN
/experiments/ENCSR059LML/	ENCSR059LML	CG32006	CG32006	FactorBook:ENCSR059LML
/experiments/ENCSR660AYK/	ENCSR660AYK	CG6854	CTPsyn,CG45071	FactorBook:ENCSR660AYK
/experiments/ENCSR643MOM/	ENCSR643MOM	odd	odd	FactorBook:ENCSR643MOM
/experiments/ENCSR240NHL/	ENCSR240NHL	ac	ac	FactorBook:ENCSR240NHL
/experiments/ENCSR199TFG/	ENCSR199TFG	tj	tj	FactorBook:ENCSR199TFG
/experiments/ENCSR125CNZ/	ENCSR125CNZ	D19A	D19A	FactorBook:ENCSR125CNZ
/experiments/ENCSR042FCJ/	ENCSR042FCJ	CG7556	CG7556	FactorBook:ENCSR042FCJ
